マスター,地名,センター,燃やすごみ,缶 びん ペットボトル,プラスチック製容器包装,小型金属
1,出雲路神楽町,北エコまちステーション,月 木,水,金,水1
1,出雲路神楽町立テ本町,北エコまちステーション,月 木,水,金,水1
1,出雲路神楽町俵町,北エコまちステーション,月 木,水,金,水1
1,出雲路神楽町松ノ下町,北エコまちステーション,月 木,水,金,水1
1,大北山鏡石町,北エコまちステーション,火 金,水,木,水4
1,大北山松鷗山町(収集無し),北エコまちステーション,,,,
1,大北山天神岡町,北エコまちステーション,火 金,水,木,水4
1,大北山蓮ヶ谷町,北エコまちステーション,火 金,水,木,水4
1,大北山長谷町,北エコまちステーション,火 金,水,木,水4
1,大北山原谷乾町,北エコまちステーション,火 金,水,木,水4
1,大北山不動山町,北エコまちステーション,火 金,水,木,水4
1,大北山鷲峯町,北エコまちステーション,火 金,水,木,水4
1,大宮秋葉山,北エコまちステーション,火 金,木,水,水3
1,大宮秋葉山一ノ井町,北エコまちステーション,火 金,木,水,水3
1,大宮秋葉山上ノ岸町,北エコまちステーション,月 木,水,火,水2
1,大宮秋葉山北ノ岸町,北エコまちステーション,火 金,木,月,水3
1,大宮秋葉山北椿原町(大宮通東側),北エコまちステーション,月 木,水,火,水2
1,大宮秋葉山北椿原町(大宮通西側),北エコまちステーション,火 金,水,月,水3
1,大宮秋葉山南椿原町(大宮通東側),北エコまちステーション,月 木,水,火,水2
1,大宮秋葉山南椿原町(大宮通西側),北エコまちステーション,火 金,水,月,水3
1,大宮秋葉山北箱ノ井町,北エコまちステーション,火 金,木,水,水3
1,大宮秋葉山南箱ノ井町,北エコまちステーション,火 金,木,水,水3
1,大宮秋葉山北林町,北エコまちステーション,火 金,水,月,水3
1,大宮秋葉山中林町,北エコまちステーション,火 金,水,月,水3
1,大宮秋葉山南林町,北エコまちステーション,火 金,水,月,水3
1,大宮秋葉山北山ノ前町,北エコまちステーション,火 金,木,月,水3
1,大宮秋葉山西山ノ前町,北エコまちステーション,火 金,木,水,水3
1,大宮秋葉山南山ノ前町,北エコまちステーション,火 金,水,月,水3
1,大宮草山,北エコまちステーション,火 金,木,水,水3
1,大宮草山玄琢北町,北エコまちステーション,火 金,木,水,水3
1,大宮草山玄琢北東町,北エコまちステーション,火 金,木,水,水3
1,大宮草山玄琢南町(玄琢街道南西側),北エコまちステーション,火 金,木,月,水3
1,大宮草山玄琢南町(玄琢街道北東側),北エコまちステーション,火 金,木,水,水3
1,大宮草山釈迦谷,北エコまちステーション,火 金,木,水,水3
1,大宮草山田尻町,北エコまちステーション,火 金,木,月,水3
1,大宮草山南田尻町,北エコまちステーション,火 金,木,月,水3
1,大宮草山土居町,北エコまちステーション,火 金,木,月,水3
1,大宮草山中総門口町,北エコまちステーション,火 金,木,月,水3
1,大宮草山西総門口町,北エコまちステーション,火 金,木,月,水3
1,大宮草山東総門口町,北エコまちステーション,火 金,木,月,水3
1,大宮草山中ノ社町,北エコまちステーション,火 金,木,月,水3
1,大宮草山西小野堀町,北エコまちステーション,火 金,水,月,水3
1,大宮草山東小野堀町,北エコまちステーション,火 金,水,月,水3
1,大宮草山西野山町,北エコまちステーション,火 金,木,月,水3
1,大宮草山西脇台町,北エコまちステーション,火 金,水,月,水3
1,大宮草山東脇台町,北エコまちステーション,火 金,水,月,水3
1,大宮草山二ノ坂(収集無し),北エコまちステーション,,,,
1,大宮草山萩原(収集無し),北エコまちステーション,,,,
1,大宮草山榿ノ木町,北エコまちステーション,火 金,木,月,水3
1,大宮草山開町,北エコまちステーション,火 金,水,月,水3
1,大宮草山薬師山西町,北エコまちステーション,火 金,木,水,水3
1,大宮草山薬師山東町,北エコまちステーション,火 金,木,水,水3
1,大宮草山芦堂町,北エコまちステーション,火 金,水,水,水4
1,大宮草山稲荷,北エコまちステーション,火 金,水,水,水4
1,大宮草山牛ヶ滝(収集無し),北エコまちステーション,,,,
1,大宮草山大谷(収集無し),北エコまちステーション,,,,
1,大宮草山菖蒲(収集無し),北エコまちステーション,,,,
1,大宮草山中町,北エコまちステーション,火 金,水,水,水4
1,大宮草山西町,北エコまちステーション,火 金,水,水,水4
1,大宮東町,北エコまちステーション,火 金,水,水,水4
1,大宮中山(収集無し),北エコまちステーション,,,,
1,小野岩戸,北エコまちステーション,火 金,水,水,水4
1,小野笠谷(収集無し),北エコまちステーション,,,,
1,小野上ノ町,北エコまちステーション,火 金,水,水,水4
1,小野中ノ町,北エコまちステーション,火 金,水,水,水4
1,小野下ノ町,北エコまちステーション,火 金,水,水,水4
1,小野水谷(収集無し),北エコまちステーション,,,,
1,小野宮ノ上町,北エコまちステーション,火 金,水,水,水4
1,上賀茂葵田町,北エコまちステーション,月 木,金,水,水1
1,上賀茂葵之森町,北エコまちステーション,月 木,金,水,水1
1,上賀茂赤尾町,北エコまちステーション,月 木,金,水,水1
1,上賀茂朝露ヶ原町,北エコまちステーション,月 木,金,水,水1
1,上賀茂畔勝町,北エコまちステーション,月 木,金,水,水1
1,上賀茂荒草町,北エコまちステーション,月 木,金,水,水1
1,上賀茂池殿町,北エコまちステーション,月 木,金,水,水1
1,上賀茂池端町,北エコまちステーション,月 木,金,水,水1
1,上賀茂石計町,北エコまちステーション,月 木,金,水,水1
1,上賀茂壱町口町,北エコまちステーション,月 木,金,水,水1
1,上賀茂茨谷町(収集無し),北エコまちステーション,,,,
1,上賀茂今井河原町,北エコまちステーション,月 木,金,水,水1
1,上賀茂岩ヶ垣内町,北エコまちステーション,月 木,金,水,水1
1,上賀茂馬ノ目町,北エコまちステーション,月 木,金,水,水1
1,上賀茂梅ヶ辻町,北エコまちステーション,月 木,金,水,水1
1,上賀茂烏帽子ヶ垣内町,北エコまちステーション,月 木,金,水,水1
1,上賀茂大柳町,北エコまちステーション,月 木,金,水,水1
1,上賀茂岡本町,北エコまちステーション,月 木,金,水,水1
1,上賀茂(水1),北エコまちステーション,岡本口町,月 木,金,水
1,上賀茂音保瀬町,北エコまちステーション,月 木,金,水,水1
1,上賀茂上神原町(収集無し),北エコまちステーション,,,,
1,上賀茂北大路町,北エコまちステーション,月 木,金,水,水1
1,上賀茂中大路町,北エコまちステーション,月 木,金,水,水1
1,上賀茂南大路町,北エコまちステーション,月 木,金,水,水1
1,上賀茂北ノ原町,北エコまちステーション,月 木,金,水,水1
1,上賀茂毛穴井町,北エコまちステーション,月 木,金,水,水1
1,上賀茂ケシ山,北エコまちステーション,月 木,金,水,水1
1,上賀茂神山,北エコまちステーション,月 木,金,水,水1
1,上賀茂坂口町,北エコまちステーション,月 木,金,水,水1
1,上賀茂榊田町,北エコまちステーション,月 木,金,水,水1
1,上賀茂桜井町,北エコまちステーション,月 木,金,水,水1
1,上賀茂下神原町(収集無し),北エコまちステーション,,,,
1,上賀茂十三石山,北エコまちステーション,月 木,金,水,水1
1,上賀茂菖蒲園町,北エコまちステーション,月 木,金,水,水1
1,上賀茂蝉ヶ垣内町,北エコまちステーション,月 木,金,水,水1
1,上賀茂高縄手町,北エコまちステーション,月 木,金,水,水1
1,上賀茂竹ヶ鼻町,北エコまちステーション,月 木,金,水,水1
1,上賀茂土門町,北エコまちステーション,月 木,金,水,水1
1,上賀茂津ノ国町,北エコまちステーション,月 木,金,水,水1
1,上賀茂豊田町,北エコまちステーション,月 木,金,水,水1
1,上賀茂中嶋河原町,北エコまちステーション,月 木,金,水,水1
1,上賀茂中ノ河原町,北エコまちステーション,月 木,金,水,水1
1,上賀茂西河原町,北エコまちステーション,月 木,金,水,水1
1,上賀茂中ノ坂町,北エコまちステーション,月 木,金,水,水1
1,上賀茂中山町,北エコまちステーション,月 木,金,水,水1
1,上賀茂二軒家町,北エコまちステーション,月 木,金,水,水1
1,上賀茂西上之段町,北エコまちステーション,月 木,金,水,水1
1,上賀茂東上之段町,北エコまちステーション,月 木,金,水,水1
1,上賀茂西後藤町,北エコまちステーション,月 木,金,水,水1
1,上賀茂東後藤町,北エコまちステーション,月 木,金,水,水1
1,上賀茂狭間町,北エコまちステーション,月 木,金,水,水1
1,上賀茂柊谷町,北エコまちステーション,月 木,金,水,水1
1,上賀茂備後田町,北エコまちステーション,月 木,金,水,水1
1,上賀茂藤ノ木町,北エコまちステーション,月 木,金,水,水1
1,上賀茂舟着町,北エコまちステーション,月 木,金,水,水1
1,上賀茂前田町,北エコまちステーション,月 木,金,水,水1
1,上賀茂松本町,北エコまちステーション,月 木,金,水,水1
1,上賀茂深泥池町,北エコまちステーション,月 木,金,水,水1
1,上賀茂深泥御用谷町(収集無し),北エコまちステーション,,,,
1,上賀茂深泥白木山町(収集無し),北エコまちステーション,,,,
1,上賀茂深泥西山町(収集無し),北エコまちステーション,,,,
1,上賀茂深泥山神町(収集無し),北エコまちステーション,,,,
1,上賀茂御薗口町,北エコまちステーション,月 木,金,水,水1
1,上賀茂向梅町,北エコまちステーション,月 木,金,水,水1
1,上賀茂向縄手町,北エコまちステーション,月 木,金,水,水1
1,上賀茂女夫岩町,北エコまちステーション,月 木,金,水,水1
1,上賀茂本山,北エコまちステーション,月 木,金,水,水1
